#,구분,회사명,카테고리,이메일,웹사이트,전화,부스번호,메모
125,타겟검토,서울화장품,,sarah.k@seoulcos.co.kr,http://www.seoulcos.co.kr/,,C-M41,"44년 경력 OEM/ODM 원스톱 제조사로 타 브랜드용 처방 개발, 자체 소비자 브랜드 언급 없음."
126,타겟검토,주식회사 다산씨엔텍,,sales@dasancntech.com,https://www.dasancntech.com/,,C-M42,"CGMP 화장품 제조사로 원료·제형 개발 및 OEM/ODM·인증대행 제공, 자체 소비자 브랜드 없음."
127,타겟검토,(주)지앤아이코스메틱,,gnicos@gnicos.co.kr,http://www.gnicos.co.kr/,,C-M51,"desc상 색조화장품 ODM 전문업체로 자사 소비자 브랜드 언급 없음, 수탁제조."
128,타겟검토,AMORY LONDON LTD,,info@amorylondon.com,,,C-N06,"category·website·desc 모두 비어 정보 전무, 자사 소비자 브랜드 근거 없어 보수적 제외(재검토 권장)."
129,타겟검토,"HUAXIN BIOTECHNOLOGY CO., LIMITED",,olwen_z@foxmail.com,https://huaxinguoji.en.alibaba.com/company_profile.html,,C-N11,"Alibaba company_profile 기반에 브랜드명 없이 '저가·중가·고가 전 가격대 풀라인업'을 내세운 수탁 제조사 카탈로그 어법, 자"
130,타겟검토,Nuon LLC,,info@nuonmedical.com,https://www.nuonmedical.com,,C-N16,"18년 의료기술 기반으로 코스메틱 효능을 높이는 액티브 애플리케이터(기기 부품)를 개발하는 B2B 의료기술 기업, 자사 소비자 브랜드 없음."
131,타겟검토,주식회사 이든팜,,eden@edencos.co.kr,http://edencos.co.kr/,,C-N31,"스킨/헤어/바디 OEM/ODM 제조기업으로 고객사 맞춤 제형 개발, 자체 소비자 브랜드 없음."
132,타겟검토,BonitoLab,,bonitolab@bonitolab.com,https://www.bonitolab.com,,C-N32,"화장품 기획부터 처방·양산까지 지원하는 개발 전문 OEM/ODM 기업, 자체 소비자 브랜드 언급 없음."
133,타겟검토,해피엘앤비,,happy@happylnb.com,https://www.happylnb.com/eng/cosmetic/index.php,,C-N41,"화장품 OEM 기업으로 비건·할랄 인증 수탁 제조·수출 중심, 자체 소비자 브랜드 없음."
134,타겟검토,(주) 정동산업,,duzon@jungdong.biz,https://www.jungdongcos.com/,,C-N47,"마스크팩·여드름패치 전문 글로벌 OEM/ODM 제조사로 파트너사 공급, 소비자 브랜드 없음."
135,타겟검토,(주) 에이바이오머티리얼즈,,master@a-bio.co.kr,https://celexo.co.kr/home/index.php?ps_language_type=english,,C-O31,엑소좀 스킨부스터와 전문가용 프리/포스트케어 화장품을 클리닉에 공급하는 바이오텍으로 소비자 자체 브랜드 없음.
136,타겟검토,씨앤텍(주),,sbeom1@cntechcorp.co.kr,https://www.cntechcorp.co.kr/,,C-P01,스킨케어·마스크·패치 등 외주 없는 자체생산 OEM/ODM 수탁제조사로 자체 소비자 브랜드 언급 없음.
137,타겟검토,㈜세레코,,celleco@celleco.co.kr,https://www.celleco.co.kr/en,,C-P03,"피부과학 기반 화장품 OEM/ODM 전문 기업, 원스톱 수탁제조로 자체 소비자 브랜드 없음."
138,타겟검토,(주)미진화장품,,mijin_kor@mjcare.co.kr,https://www.mjcare.co.kr/,,C-P16,"마스크팩 OEM/ODM 전문업체로 desc에 자체 소비자 브랜드 언급 없음, 수탁제조 중심."
139,타겟검토,주식회사 제이에스사이언스,,,,,C-P22,GSC·안티에이징랩의 피부 임상시험·인증 컨설팅 B2B 서비스 제공 기업으로 자체 소비자 브랜드 없음.
140,타겟검토,퓨어앤텍(주),,sales@purentechkorea.com,https://purentechkorea.com/,,C-P31,GMP 기반 OEM/ODM 전문 글로벌 화장품 제조사로 자체 소비자 브랜드 없이 수탁 생산·수출 중심.
141,타겟검토,에이치앤엘바이오,,connect@drschiller.kr,https://www.drschiller.kr/,,C-P37,"동결건조 마스크팩 ODM/OEM 원스톱 수탁제조·대량 생산능력 중심, 소비자 브랜드 아님."
142,타겟검토,지와이바이오,,INFO@GYBIO.CO.KR,https://WWW.GYBIO.CO.KR,,C-P51,NAD+/PDRN 항노화 제조·유통(실리프팅/필러 포함) 전문 제조사로 자사 소비자 브랜드 없음.
143,타겟검토,(주) 씨케이앤비,,sales@cknb.co.kr,,,C-P52,디지털 콘텐츠·정품인증 플랫폼 ICT 서비스 기업으로 뷰티 소비자 브랜드 아님.
144,타겟검토,주식회사 더마솔루션,,hello@derma-solution.co.kr,https://www.derma-solution.co.kr/,,C-Q02,"리프팅실·필러·뷰티디바이스 39개국 수출 B2B, 시술기기 중심으로 소비자 브랜드 아님."
145,타겟검토,exomera,,miocid@widemore.co.kr,,,C-Q08,desc·website·category 모두 비어 사업 실체를 판단할 근거가 전무하여 보수적 제외.
146,타겟검토,비티랩,,btylab8082@naver.com,http://www.btylab.net/theme/bty/en/,,C-Q09,"비타민 뷰티 샤워필터를 20여국에 OEM 수출하고 약국·살롱 등에 공급, 자체 소비자 브랜드 아닌 B2B 공급."
147,타겟검토,(주) 엘림텍,,sales@elimtek.co.kr,http://www.elimtek.co.kr,,C-Q12,피부관리 의료/에스테틱 기기 개발·제조사로 자체 소비자 브랜드 명시 없음.
148,타겟검토,로가,,,,,C-Q15,식물성 기능성 원료(VC-H1)·이너뷰티 원료 개발 B2B 바이오 원료기업으로 자체 소비자 브랜드 없음.
149,타겟검토,㈜나산기업,,nasan@nscolor.com,https://nallshopping.cafe24.com/,,C-Q19,헤어컬러차트·살롱액세서리 OEM/ODM 수탁제조사로 자체 소비자 브랜드 없음.
150,타겟검토,비컨,,,,,C-Q20,"category·website·desc 모두 비어 있어 사업 확인 불가, 소비자 브랜드 근거 없어 보수적 제외."
151,타겟검토,주식회사 모티프커뮤니케이션,,,,,C-R01,desc·category·website 전부 비어있고 사명상 커뮤니케이션 업체로 추정되어 뷰티 소비자 브랜드 근거 없음.
152,타겟검토,"Trendyproducts Co.,Ltd.",,info@trendyproducts.co.kr,https://www.trendyproducts.co.kr/,,C-R08,미용소도구·화장품 OEM/ODM 수출 전문 기업으로 '자체 브랜드 수출 가능'은 역량 언급 수준일 뿐 소비자 대상 자사 브랜드 운영 근거 없음.
153,타겟검토,(주)아이테크,,nurieye@daum.net,https://nurieye.com/,,C-R20,"안과 임상검증 안구건조증 치료 의료기기(누리아이) 제조가 본업, 얼굴마사지기 누리아이2U는 파생품으로 소비자 뷰티 브랜드성 약함."
154,타겟검토,아이스링커 주식회사,,icelinker@icelinker.com,http://www.icelinker.com/,,L-A17,삼성 C-LAB 분사 디지털 냉각기술 기반 의료·웰니스 기기 회사로 뷰티 소비자 브랜드가 아님.
155,타겟검토,네이처파마,,rejucell@naver.com,https://www.naturepharma.co.kr,,L-B12,"피부과·성형외과·메디컬에스테틱 대상 전문의약품·의료기기·병원전용 화장품 공급사로 REJUCELL도 병원유통·시술전용, 소비자 D2C 아님(검증변"
156,타겟검토,(주)아이오쓰리,,,,,L-C05,"category·website·desc 모두 비어 있어 사업 확인 불가, 보수적으로 제외."
157,타겟검토,㈜제이디바이오,,info@jdbio.com,http://www.jdbio.com,,L-D02,HA필러·스킨부스터·톡신 등 메디컬 에스테틱 시술제품 수출사로 소비자 브랜드 아님.
158,타겟검토,(주)에이스피부임상연구소,,aceskin@acescri.com,http://www.acescri.com/front/views/main/,,L-E01,"피부 인체적용시험·해외인증(MoCRA·CPNP) 대행 전문기관으로 B2B 서비스, 소비자 브랜드 없음."
159,타겟검토,주식회사 나노실리칸첨단소재,,info@nanobrick.co.kr,https://kr.linkedin.com/company/nanosilikhan,,L-G01,"자석인증 등 차별화 솔루션을 타사 제품·브랜드에 적용하는 소재·기술 B2B, 소비자 브랜드 없음."
