company,instagram,status,source,note
주식회사 라피끄,plentyplant.official,found,https://plentyplant.co.kr/ (footer 소셜 링크),공식 웹사이트 푸터에 instagram.com/plentyplant.official 링크 확인. 운영 브랜드 PlentyPlant 계정
고요이 GOYOYI,goyoyi.official,found,https://goyoyi.com/ (footer 소셜 링크),공식 웹사이트 푸터에 instagram.com/goyoyi.official 링크 확인
피에이치하비,phhubby_official,found,https://en.phhubby.com/ (footer Follow us 섹션),공식 웹사이트 푸터 'Follow us' 섹션에 instagram.com/phhubby_official 링크 확인
EYECANDY (아이캔디),eyecandy_co_kr,found,https://www.instagram.com/eyecandy_co_kr/,웹 검색 결과 eye-candy.co.kr 연관 계정으로 확인됨. 아이캔디 헤어브러쉬 계정명 일치. 공식 웹사이트에 IG 링크 직접 표기 없어 검색으로 확인.
닥터펩티,dr.pepti,found,https://www.instagram.com/dr.pepti/,공식 웹사이트(jncoceu.com/en) 내 소셜 링크에서 직접 확인. 검색에서도 '닥터펩티 공식 인스타그램' 제목으로 표시됨.
(주)카푸네인터내셔널,teamcafune.official,found,https://www.instagram.com/teamcafune.official/,cafuneglobal.com 공식 사이트에 IG 직접 링크 없어 검색으로 확인. 검색 결과에서 cafuneglobal.com과 연결된 공식 계정으로 '카푸네(cafune)공식 계정' 명시.
주식회사 오버랩스,overlaps.official,found,https://overlaps.co.kr/,공식 웹사이트 하단 푸터에 @overlaps.official 직접 표기 및 링크 확인.
올어바웃아이즈,madamelash_official,found,https://madame-lash.com/,공식 웹사이트(madame-lash.com)에 INSTAGRAM 섹션과 함께 @madamelash_official 링크 직접 확인.
브라이트,brightbrushofficial,uncertain,https://www.instagram.com/brightbrushofficial/,"웹 검색으로 @brightbrushofficial 계정 발견. 단, 네이버 스마트스토어(smartstore.naver.com/brightbrush) 페이지가 WebFetch 불가하여 공식 사이트에서 직접 교차 확인 불가. 동명 타 브랜드 가능성 배제 못함."
오오유 주식회사,bfou.official,found,https://www.bfou.kr,공식 웹사이트(bfou.kr) 'VISIT OUR INSTAGRAM' 섹션 및 푸터 소셜미디어 링크에서 @bfou.official 직접 확인.
올웨이즈비퓨어,alwaysbepure_global,found,http://www.alwaysbepure.com,"공식 웹사이트(alwaysbepure.com) 푸터 소셜미디어 링크에서 @alwaysbepure_global 직접 확인. YouTube, TikTok과 함께 표기됨."
리타,liita.official,found,https://www.liita-seoul.com (웹사이트 푸터 SNS 링크),공식 웹사이트 푸터에 instagram.com/liita.official 링크 직접 확인
바루쟈,varuza_official,found,https://www.thevaruza.com (웹사이트 푸터/네비게이션 SNS 링크),공식 웹사이트 푸터 및 네비게이션에 instagram.com/varuza_official 링크 직접 확인
주식회사 바이비카,inbutim_official,found,https://inbutim.com (웹사이트 푸터 SNS 링크),공식 웹사이트 푸터 인스타그램 아이콘에서 instagram.com/inbutim_official 링크 직접 확인
(주)유에스티,truthofbeauty_official,found,https://www.truthofbeauty.kr (웹사이트 내 인스타그램 섹션),공식 웹사이트 하단 인스타그램 섹션에 truthofbeauty_official 핸들 직접 확인
지비알아이디어,vah_korea,found,https://en.vah.co.kr (영문 공식 사이트 푸터 Follow us 섹션),영문 공식 웹사이트 푸터 'Follow us' SNS 아이콘에서 instagram.com/vah_korea 링크 직접 확인
부드와서울,grandidier_official,found,http://www.grandidier.kr (웹사이트 SNS 링크),공식 웹사이트에서 instagram.com/grandidier_official 링크 직접 확인
(주)벤치컴퍼니 Bench company Inc,fitroot,found,https://www.fitroot.kr (웹사이트 내 @fitroot 핸들 명시),공식 웹사이트 내 @fitroot 핸들이 여러 곳에 명시됨. 별도 URL 링크는 미확인이나 브랜드 핸들로 반복 표기
셀릭사,celixa_official,found,https://celixa.co.kr (웹사이트 푸터 BRAND 섹션),공식 웹사이트 푸터 BRAND 섹션에 instagram.com/celixa_official 링크 직접 확인
L-E03: Tender garden 텐더가든 / L-E04: BELDORA 벨도라,tender_garden_official,found,https://vplatform.kr/ — 페이지 내 Instagram 섹션에 @tender_garden_official 직접 링크됨,"텐더가든은 tender_garden_official 확인. 벨도라(BELDORA)는 별도 공식 브랜드 사이트 beldora.net 및 vplatform.kr 브랜드 페이지에서 @beldora299_official 확인. 두 브랜드가 한 입력으로 묶여 있어 대표 핸들로 텐더가든을 기재하고, 벨도라는 note에 병기: beldora299_official"
주식회사 더연,theyeon_official,found,https://theyeon.kr/ — 페이지 푸터 및 본문에 https://www.instagram.com/theyeon_official/ 직접 링크 확인,공식 웹사이트에서 직접 링크된 계정으로 신뢰도 높음
셀비오코스메틱(주),cellvio_offlcial,found,https://www.cellviocosmetic.co.kr/ — 헤더 내비게이션 Instagram 아이콘이 https://www.instagram.com/cellvio_offlcial/ 로 링크됨,핸들 철자 주의: 'official'이 아닌 'offlcial' (l과 c 순서 바뀜). 공식 웹사이트에서 직접 링크한 계정이므로 그대로 채택
유니티,,notfound,"https://luxevo.co.kr — 웹사이트 접근 가능하나 회사명·브랜드명 미노출, SNS 링크 없음. 추가 웹검색에서도 이 도메인과 연결되는 브랜드 Instagram 확인 불가",luxevo.co.kr은 이커머스 쇼핑몰 형태이나 회사명 '유니티'와 연결되는 공식 IG 계정을 어떤 경로로도 확인하지 못함. 추측 생성 불가
이아이오(L-H02) / 누이브(L-H03),eiio_official,uncertain,"이아이오: https://www.instagram.com/eiio_official/ — 검색 결과 민감성 피부 스킨케어 브랜드 이아이오 공식 계정으로 확인. 누이브: eiio.co.kr 사이트에서 누이브 언급 없음, use.nuive 계정은 검색에서 나타나나 eiio.co.kr 운영사(코스메티나)와 누이브 브랜드 공식 연결 미확인",이아이오 핸들(eiio_official)은 found 수준이나 누이브 핸들 불확인으로 전체 항목을 uncertain 처리. 누이브 공식 IG는 별도 확인 필요
주식회사 씨에이치바이오,,notfound,"https://chbio.net/ — SSL 인증서 만료로 직접 접근 실패. 검색 결과 운영 브랜드(Sweet Love, MelaRegen, Gosun, DanielMedi, Flor Saera, 바디팩토리)의 공식 IG 계정이 어느 것도 씨에이치바이오 법인과 명확히 연결되어 INTERCHARM 참가 브랜드 계정으로 확인되지 않음",바디팩토리 관련 계정(@bodyfactoryskincare 등)이 검색되나 공식 여부·법인 귀속 불명확. 씨에이치바이오가 INTERCHARM에 어떤 브랜드로 참가하는지 확인 후 해당 브랜드 IG를 별도 조회 권장
