회사명,이메일,인스타,웹사이트,카테고리,Tier,홀,부스번호,전화,이메일상태
(주)이레코스메틱,irecosmetics@naver.com,,https://www.irecosmetic.co.kr,스킨케어,Tier B,C,C-M56,032-817-6621,corrected
와더스킨,whataskin7@gmail.com,,https://whataskin7.cafe24.com/shop3/,스킨케어,Tier B,C,C-M57,+8270-4090-1239,corrected
KONAD코나드,konadkorea@konadnail.com,,http://www.konadcosmetic.com,메이크업,Tier B,C,C-N46,827043989846,confirmed
"VIEWTEL Co., Ltd.",marketing@view-tel.co.kr,,https://viewtel.cafe24.com/,홈디바이스,Tier B,C,C-N51,010-8038-6314,found
BTF,hanmaum117@naver.com,,https://thebtf.co.kr,홈디바이스,Tier B,C,C-N57,010-3438-3898,Y
㈜상떼화장품,sante@santecosmetic.net,,https://santecosmetic.co.kr,더마,Tier B,C,C-O01,010-5765-7161,corrected
주식회사 에스테르,estercos@daum.net,,,스킨케어,Tier B,C,C-P06,,found
KPCOS,kyulgoun@kyulgoun.com,,https://kpcos.com,스킨케어,Tier B,C,C-P36,+82 31 996 6266,Y
(주)제이지에스헬스큐어,mayyoung@mayyoung.kr,,https://mayyoung.kr,스킨케어,Tier B,C,C-Q04,010-9259-6218,corrected
이지템,sales@easytem.co.kr,,https://www.easytem.co.kr/,홈디바이스,Tier B,C,C-R05,+82-31-312-1305,Y
(주) 엠디무역,mdtrad@naver.com,,https://www.mdwig.co.kr/,헤어,Tier B,C,C-R19,010-9403-1281,uncertain
주식회사 에이디솔루션,adsolution52@naver.com,,http://www.adsolutionkorea.com,더마,Tier B,L,L-A02,07080641805,Y
(주)코윈바이오,mesablue@kowinbio.co.kr,,https://en.mesabluestore.com/,더마,Tier B,L,L-A11,07050961080,confirmed
킨뮬러,beauty@kinmula.com,,https://kinmula.com/,더마,Tier B,L,L-B01,+82-2-558-3575,Y
"HANJINEYMAY CO.,LTD",official@hanjineymay.com,,,스킨케어,Tier B,L,L-B02,,found
FACE FACTORY,marketing@cubist.co.kr,,https://www.face-factory.com/,홈디바이스,Tier B,L,L-B23,+821028985097,corrected
(주)뷰티앤팩토리,global@beautynfactory.com,,https://beautynfactory.com/,더마,Tier B,L,L-C01,+82.70.8868.1608,confirmed
(주)시카젠,cicagen@cicagen.com,,https://en.cicagen.com/,더마,Tier B,L,L-D01,02-6233-8037,confirmed
Bodycare Lab,contact@bcl.kr,,http://www.bcl.kr,홈디바이스,Tier B,L,L-E05,070-4700-1368,Y
주식회사 텍스코,somsajang@texkor.com,,https://www.somsajang.co.kr,바디,Tier B,L,L-G07,031-798-8261,Y
