브랜드명,6월반영,카테고리,인스타,근거
그로우어스 (GROWUS),,헤어케어,growus.official,"바다 미네랄(탈라소테라피) 기반 두피·헤어 스파케어 신생 브랜드. 데미지 테라피 샴푸/트리트먼트, 알게 테라피 미네랄 샴푸 등. 회사원A 콜라보(2024.8), 세포라·무신사·올리브영 입점, 인스타 약 13K로 인플·콜라보 마케팅 활발한 인디 헤어 전문. 출처: magazine.hankyung.com / growus.kr / @growus.official"
솔랩 (SOLAB / Solep),✓,스칼프케어 (두피/탈모),solep_scalp,"두피앰플팩(탈모/진정), 볼륨·손상모 앰플 트리트먼트, 탈모완화 샴푸 등 두피/탈모 기능성에 집중한 헤어 전문 브랜드(solepkorea.com). 올리브영 두피앰플팩 1위·인스타 직판으로 소비자 직접 판매, 인플 후기 마케팅 활발. (단 '20년 연구' 표현이 있어 런칭 시점은 추가 확인 권장) 출처: solepkorea.com / @solep_scalp"
리솔츠 (ReSaltZ),,바디케어 (웰니스),resaltz_wellness,"슈퍼미네랄 솔트 기반 K-웰니스 뷰티 신생 브랜드(전문가 그룹 Hiz의 첫 브랜드). 비건 오일 농축 '리추얼 마사지 클렌징 바'(괄사+마스크+클렌징) 등 바디/스킨 라인을 와디즈로 런칭(2023)·성수 LCDC 팝업, 김준수 협업 향수 출시. 인스타(약 14K) 직판으로 인플 마케팅 활발. 출처: cosinkorea.com / resaltz.co.kr / @resaltz_wellness"
호텔도슨 (HOTEL DAWSON),,향수·홈프래그런스,official.hoteldawson,"2020년 시작한 한국 인디 프래그런스 브랜드로 '호텔 체크인' 콘셉트의 퍼퓸·디퓨저·바디케어를 B2C 전개, 올리브영 입점 및 신사 라운지 운영. 인스타(@official.hoteldawson) 활성 → 인플루언서 마케팅 여지 큼. 출처: 무신사/올리브영 브랜드관, 호텔도슨 공식몰"
킨포크 노츠 (Kinfolk Notes),,향수·홈프래그런스,kinfolk.notes,"2022년 핸드솝·로션으로 시작해 오 드 퍼퓸·디퓨저·캔들·퍼퓸미스트로 확장한 신생 라이프스타일 프래그런스. 성수 플래그십('Personal Notes Bar' 체험) 운영, 소비자 직접 판매·인스타 운영(@kinfolk.notes) → ICP 정합. 출처: KoreaProductPost / scentlife.co.kr 성수 플래그십 사례"
빌라에르바티움 (Villa Erbatium),✓,향수·홈프래그런스,villaerbatium,"한국에서 핸드크래프트되는 천연원료 기반 니치 퍼퓸 브랜드(최초 에디션 2021, 신작 다수). 삼청동 '연금술사 실험실' 쇼룸, '서울의 향' 제작 등 B2C·인스타(@villaerbatium 약 2.5만) 활발 → ICP 정합. 출처: Visit Seoul, Fragrantica, 공식몰 villaerbatium.com"
르페르소나 (LE PERSONA),✓,향수 (니치 퍼퓸),lepersona_official,"강남 소재 (주)르페르소나가 운영하는 한국 인디 니치 향수 하우스. 그리스 가면(페르소나) 모티프의 정체성·감정 중심 향을 B2C 판매. 인스타(@lepersona_official 약 1.6만) 운영, '실험정신 강한 한국 퍼퓸 하우스'로 매체 소개 → 인플루언서 수요 적합. 출처: Insight 'K-퍼퓸' 5선, 공식몰 lepersona.com"
센트메이드 (SCENTMADE),✓,향수 (니치 퍼퓸),scentmade_official,"김포 소재 한국 니치 향수 브랜드(대표 이효빈). 자체 라인업 EDP·퍼퓸 제품을 연남·동대문 오프라인 및 온라인 B2C 판매, 인스타(@scentmade_official) 운영('We find the scent in your memory'). 신생 인디·소비자 직접판매 → ICP 정합. 출처: 잡코리아 기업정보, 공식몰 scentmade.co.kr"
볼름에릭스 (Bolm Erix),✓,향수·홈프래그런스,bolm_erix,"성남 소재 한국 니치 향수 브랜드(맨드레이크·압생트·후카 등 독특한 향), 퍼퓸 외 디퓨저·룸스프레이도 전개, 송파 퍼퓸 스튜디오 운영. B2C·인스타(@bolm_erix) 활발 → 인플루언서 마케팅 여지. (런칭 2018로 신생 기준에서는 다소 이른 편) 출처: 공식몰 bolmerix.com About, Parfumo"
아닐로 (Anillo),,헤어·바디·향수 (비건),anillo_official,"2022년 국내 첫 런칭한 비건 헤어·바디·향 브랜드, '하루를 씻어내는 나만의 시간' 컨셉. anillo_my(말레이시아)·anillo_japan(일본)·anillo.global 등 해외 전용 인스타 계정 운영으로 동남아·일본 진출 적극. 자사몰+올리브영·무신사 입점으로 국내 인플루언서 마케팅 여지 큼. 출처: datanews.co.kr '비건 라이프스타일 브랜드 아닐로 국내 첫 런칭' 기사 / instagram.com/anillo_official"
마리엔메이 (Mary&May),,스킨케어 (클린뷰티),marynmay_official,"에이드코리아컴퍼니(독립 인디사)의 클린뷰티 스킨케어 브랜드. 미국 공식몰, 일본(Plaza·아마존재팬·큐텐·라쿠텐), 동남아(Lazada·Shopee), 왓슨스(홍콩·태국·대만·UAE) 클린뷰티존, 멕시코 단독 런칭 등 해외 진출이 핵심 전략. 성분별 세럼 라인으로 국내 인플루언서 협업 여지 큼. 출처: cosinkorea.com 마리엔메이 일본 진출 기사 / marynmay.com About / instagram.com/marynmay_official"
일소 (ILSO),,스킨케어 (더마),ilso_official,"2022년 3월 만디스코리아가 런칭한 더마 스킨케어 브랜드('RECHARGE YOUR SKIN'). 코·모공·블랙헤드 케어 노즈팩이 대표템으로 미국 Ulta Beauty 입점하며 해외 진출 중. 자사몰(ilso.kr)+올리브영 브랜드관 운영, 인스타 협찬 활발해 국내 인플루언서 마케팅 여지 큼. 출처: news.nate.com 일소 더마 스킨케어 런칭 기사 / marieclaire.com under-the-radar Korean beauty(Ulta 입점) / instagram.com/ilso_official"
케이시크릿 (K-SECRET / SEOUL 1988),,스킨케어,,발효쌀·인삼·레티날 리포좀·펩타이드 중심 인디 스킨케어(100% made in Korea). 'SEOUL 1988' 레티날 세럼·아이크림을 Amazon US 직접 스토어로 판매하고 Stylevana·YesStyle 등 글로벌 K뷰티 리테일 입점. 레티날 고함량 성분 스토리로 국내 인플루언서 리뷰 여지 큼. (인스타 핸들 미확인으로 공란) 출처: ksecretcosmetics.com / amazon.com K-SECRET SEOUL 1988 스토어 / stylevana.com KSECRET
사랑해요 (SARANGHAEYO),✓,향수 (니치 퍼퓸),,2020년경 시작한 한국 니치 향수 브랜드로 크리에이터가 포착한 시간·공간을 모티프로 한 오드퍼퓸 라인. K-프래그런스 글로벌 부상 흐름의 신생 인디로 무신사·W컨셉·자사몰(srhy.co.kr) 판매. under-the-radar 향수라 국내 향수 인플루언서 협업 여지 큼. (인스타 핸들 미확인으로 공란) 출처: fragrantica.com K-Perfume(Saranghaeyo founded 2020) / musinsa.com SARANGHAEYO 브랜드 / srhy.co.kr
동구밭 (Donggubat),✓,헤어·바디 (비건 고체),donggubat_story,"발달장애인과 함께 만드는 지속가능 라이프스타일 인디 브랜드로 고체 샴푸바·트리트먼트바 등 비건 고체화장품 중심. 영문(글로벌) 자사몰 별도 운영하며 해외 소비자 판매, 무신사 입점. 친환경·소셜미션 스토리가 국내 인플루언서·캠페인 협업에 적합. 출처: donggubat.co.kr(영문몰 us/goods) / musinsa.com 동구밭 / instagram.com/donggubat_story"
플라스킨 (FLASKIN),,스킨케어,flaskin_kr,비나우(BENOW)가 전개하는 성분 중심('The Ingredients Project') 스킨케어 인디 브랜드. 비나우는 16개국 진출 중이며 흰두유 단백질 로션 등으로 자사몰·올리브영 판매. 성분 소구가 국내 뷰티 인플루언서 리뷰 콘텐츠에 적합. 출처: benow.co.kr content2(넘버즈인·퓌·라이아·플라스킨) / ekn.kr 비나우 16개국 진출 기사 / instagram.com/flaskin_kr
리즈네이처 (Riz Nature),✓,이너뷰티,riznature_pdrn,"'먹는 PDRN' 컨셉의 차별화된 신생 이너뷰티 브랜드로 주름·홍조·트러블 등 피부 고민을 속에서 케어(피부 지향, 다이어트 아님-웹검색 확인). 자사몰 riznature.co.kr D2C 운영, 인스타 @riznature_pdrn에서 '데일리 이너뷰티' 릴스 마케팅. 운영사 은새코퍼레이션. 출처: riznature.co.kr 및 인스타그램 릴스, allurekorea/biospectrum PDRN 트렌드 언급"
플랜트 / 로가플랜트 (PLANT by 로가),✓,이너뷰티,plantbyseed,"4세대 식물성(비건) 트리펩타이드 콜라겐을 젤리·액상·음료(초록병)·콤부차 분말로 전개하는 D2C 이너뷰티(피부·콜라겐 미용 지향). 운영사 (주)로가, 자사몰 plantbyseed.com/.co.kr, 인스타 @plantbyseed(RAWGA PLANT). 비건·콜라겐 포지션으로 인플루언서 마케팅 여지 큼. 출처: plantbyseed.com 자사몰 및 인스타그램"
배리어글로우 (Barrier Glow),✓,스킨케어 + 이너뷰티,barrierglow,"민감/장벽 케어 컨셉의 신생 기능성 뷰티 브랜드로 스킨케어와 함께 이너뷰티(콜라겐 등 미용 지향) 라인을 자사몰 barrierglow.com에서 D2C 판매, 인스타 @barrierglow 릴스 마케팅 활발. 운영사 (주)닥터피부광컴퍼니. 출처: barrierglow.com 자사몰 및 인스타그램"
라운지셀 (Loungecell),✓,이너뷰티,,"오리진 아미네이드 N6(피부건강)로 '2024 상반기 화해 이너뷰티 어워드' 피부건강 카테고리 1위 - 미용 지향 이너뷰티가 브랜드의 핵심·수상 정체성(웹검색 확인). 자사몰 loungecell.co.kr D2C 운영. (다이어트 보조 SKU도 일부 보유하나 브랜드 정체성은 피부건강 이너뷰티) 인스타 핸들은 확인되지 않아 공란. 출처: zdnet/ddaily '2024 상반기 화해 어워드', hwahae.co.kr/awards/75, loungecell.co.kr"
셀라딕스 (Celladix),,스킨케어 (더마/트러블 앰플·토너·세럼),celladix.official,"문제성 피부 타깃 더마 코스메틱. 대표 '세범 리밸런싱 131 앰플'이 2025 화해 트러블 앰플 1위·올영 온라인 스킨케어 판매 1위(2025.5), 2023 KRBA 수상. 자사몰·올리브영 B2C 직판+인스타/틱톡 후기 마케팅 활발한 인디. 출처: celladix.co.kr, hwahae.co.kr 제품/랭킹."
이퀄베리 (EQQUALBERRY),✓,스킨케어 (비건 토너·세럼·크림),eqqualberry_kr,"(주)부스터스가 운영하는 100% 비건 신생 브랜드, 2024.1 미국 아마존 입점 후 토너/세럼 TOP100, 70개국 수출. 틱톡·인스타 바이럴 중심 DTC(국내 @eqqualberry_kr, 글로벌 @eqqualberry_global 16만+). 대기업 계열 아님. 출처: fashionbiz.co.kr, eqqualberry.com, instagram.com/eqqualberry_kr."
오어스 (O'earth),,스킨케어 (비건 수분진정 세럼인앰플·토너패드),oearth_skincare,"저자극 비건 수분진정 신생 브랜드. '히알루론시카 7초 세럼 인 앰플'이 올영 입점 이틀 만에 판매 1위·솔드아웃, 한예슬 추천템. 자사몰(oearth.kr) 직판+인스타 운영 인디 B2C로 인플루언서 마케팅 여지 큼. 출처: oearth.kr, wedding21.co.kr, instagram.com/oearth_skincare."
프레비츠 (FREBITS),,스킨케어 (프리미엄 비건 세럼·토너·앰플·클렌징밤),frebits_official,"(주)잘론네츄럴(現 PHB코리아)의 프리미엄 비건 신생 브랜드. 글루타치온 패치 와디즈 펀딩 11,302% 달성(2024.6 미백 패치 부문 1위), 자사몰·무신사 직판+인스타/엠버서더 운영. 대기업 계열 아님. 출처: pharmnews.com, frebits.com, wadiz.kr."
누그레이 (NUEGRAY),,색조 메이크업 (립앤치크·블러셔 중심),nuegray,"'케어-인 메이크업' 콘셉트의 인디 색조 브랜드. 히어로 '세모 탭 립앤치크'가 완판 후 올영 공식 입점, 시코르 입점·동남아 확장 중. 인스타 @nuegray로 소비자 직접 소통, 인플루언서 마케팅 여지 큼. 대기업 계열 아님. 출처: dhnews.co.kr, ekn.kr, glowpick.com/brands/12868."
오아드 (OIAD),,색조 메이크업 (립·립앤치크 중심),oiad_official,"독립 운영사 OURAND(대표 다빈 김)의 인디 색조 브랜드. 롱웨어 립타투 '립티크'가 올영 입점과 동시 랭킹 1위, 레드벨벳 슬기를 뮤즈로 발탁하는 등 인플루언서 마케팅 적극. 자사몰(oiad.kr) 직판. 대기업 계열 아님. 출처: goodkyung.com(슬기 뮤즈), oliveyoung 브랜드관, oiad.kr."
오하브 (OHAVE),✓,스킨케어 (약산성 비건 토너·앰플세럼·크림·선케어),ohave.official,"고기능 비건 스킨케어. PETA 크루얼티프리+유해성분 배제·약산성 저자극 자연유래 클린 포지셔닝의 니치 인디. 자사몰(ohavecosmetic.co.kr)·무신사 D2C 직판+인스타 운영으로 인플루언서 마케팅 여지 큼. 출처: ohavecosmetic.co.kr, musinsa.com/brands/ohave."
베이지크 (BEIGIC),,"스킨케어 (비건 오일·세럼·페이스 스크럽, 슬로우에이징)",beigic_official,"공정무역 페루산 그린커피빈 기반 100% 비건(Vegan Society 인증)·크루얼티프리 자연주의 스킨케어 인디. 자사몰·세포라 입점, 인스타(@beigic_official, ~39K) 운영하는 소비자 직판으로 인플루언서 마케팅 수요 큼. 출처: beigic.com, instagram.com/beigic_official."
알투엔스킨 (R2N SKIN),✓,스킨케어 (제주 원료 자연주의 크림·세트),r2nskin_official,"'Return to the Nature' 콘셉트의 제주 청정수·식물추출물 기반 자연주의 신생 인디. 색소·향료·파라벤 무첨가 클린 포지셔닝. 자사몰(r2nskin.co.kr) D2C+인스타/유튜브 운영. 출처: r2nskin.co.kr, civilreporter.co.kr 기사."
닥터디퍼런트 (DR.DIFFERENT),✓,"스킨케어 (더마/코스메슈티컬 레티날·시카, 슬로우에이징)",drdifferent_official,"2022년 초 론칭 코스메슈티컬 브랜드(법인 다른코스메틱스, 대표 이동원=CNP 창업자). 레티날·시카 임상 포지셔닝 소비자 스킨케어를 자사몰·올영·무신사·29CM 직판, 인스타(@drdifferent_official)로 마케팅. 대기업 계열 아님. 출처: drdifferent.com, 무신사/29CM 브랜드관."
닥터멜락신 (Dr.Melaxin),,스킨케어 (더마/슬로우에이징 세럼·앰플),dr.melaxin_korea,"2023년 론칭 슬로우에이징 더마 브랜드(운영사 브랜드501). 틱톡샵·자사몰(melaxin.com)·올영 중심으로 급성장, 숏폼/인플루언서 마케팅이 성장 동력(2024 매출 800억). 독립 인디 기업(대기업·제약 계열 아님). 출처: cogonggo.co 성공사례, melaxin.com, thevc.kr/brand501."
셀레베 (SELEVE),✓,"스킨케어 (더마/비건 그린캐비어 PDRN, 광채·장벽)",seleve_official,"2024년 론칭 더마 브랜드(운영사 올그레이스, 대표 김강일=조선미녀 초기 기획자). 비건 그린캐비어 PDRN 4종 라인을 자사몰·아마존 직판, 론칭 4개월 11개국 수출 4만개·SNS 바이럴('제2의 조선미녀' 지향). 대기업 계열 아님. 출처: meconomynews.com 인터뷰/라이징스타, seleve.co.kr."
YSE 코스메틱스 (YSE Cosmetics),✓,"스킨케어 (더마, YGF=PDRN+MGF, 민감·홍조)",,"2024.11 론칭 더마 코스메틱(운영사 브랜뉴랩, 청담 브랜뉴클리닉 윤성은 원장 개발). 독자성분 YGF 기반 민감/홍조 스킨케어를 자사몰(ysecosmetics.com) 직판. 독립 인디(대기업·제약 계열 아님). 인스타 핸들은 동명 美 'YSE Beauty'와 혼동 우려로 확정 불가하여 공란. 출처: ysecosmetics.com 브랜드소개, brandnewlab.co.kr."
닥터에이디 (Doctor Aidee / Hairology),✓,헤어·스칼프케어 (비건 두피·탈모완화 샴푸·트리트먼트),doctor_aidee_official,"약학박사가 만든 비건 두피케어·탈모증상완화 기능성 인디. 독도 해양심층수·식물성 성분 기반, 헤어올로지 라인으로 두피/모발 케어 집중하는 소비자 직판 B2C. 출처: doctoraidee.com(주식회사 닥터에이디), 오아시스마켓 판매 페이지, instagram.com handle."
에브리톡톡 (Etok / EverytokTok),✓,헤어·스칼프케어 (두피케어 헤어토닉·스케일러·탈모예방),everytoktok,"'데일리 두피 케어 전문' 신생 인디 스칼프 브랜드. 특허 두피직분사 헤어토닉·두피스케일러 운영, 올영 입점+인스타(@everytoktok)로 소비자 직접 소통—인플루언서 마케팅 여지 큼. 출처: etok.co.kr(주식회사 드림인, 인천), 올영 헤어토닉 판매, instagram.com/everytoktok."
넛세린 (NUTSELINE),,바디케어 (보습 바디로션·바디 슬림핏 세럼·멀티밤),nutseline,"'슈퍼너트' 보습 콘셉트 신생 바디케어 인디(운영사 스튜디오에피소드). 1년간 10배 성장, 2024.10 올영 오프라인 입점, 모델 한혜진이 직접 디렉팅한 '아로마 넛 라인' 등 인플루언서/모델 협업 적극. 자사몰·무신사 직판. 출처: cosinkorea.com 인터뷰, 올영 브랜드관 A013072, nutseline.com."
순딩 (SOONDING),,"스킨케어 (저자극 진정, 민감성)",soonding.official,"민감/예민 피부용 저자극 진정 스킨케어 인디. 자사몰·무신사 직판, 12개국 수출·아마존 입점, 다국적 걸그룹 RUMOR-X를 글로벌 앰버서더로 발탁한 '젠지 K-뷰티'로 해외 지향+인플루언서 마케팅 수요 명확. 출처: stardailynews.co.kr 앰버서더 기사, soonding.kr, instagram.com/soonding.official."
나인리스 (NINELESS),,스킨케어 (성분 중심 비건 세럼·선케어),nineless_official,"'성분에 집착한 스마트 스킨케어' 인디 더모코스메틱(운영사 JCN컴퍼니), 비건·크루얼티프리. 한국 제조에 글로벌 인스타(@nineless_official ~126K)·StyleKorean 등 해외 리테일 직판으로 해외 지향 뚜렷, 인플루언서 마케팅 활용 여지 큼. 대기업 계열 아님. 출처: stylekorean.com/brands/437/nineless, 9less.co.kr, instagram.com/nineless_official."
씨퓨리 (SEAPURI),✓,바디·두피케어 (빙하수 바디미스트·토너·두피 앰플),seapuri__official,"'바다가 제안하는 정화 솔루션' 콘셉트의 인디. 아이슬란드 빙하수 91% 바디미스트(모공각화증)·빙하수 토너·두피 앰플 등을 자사몰·무신사 직판. 해외 '젠틀 스칼프케어' 포지셔닝으로 틱톡 바이럴 지향해 인플루언서 마케팅 여지 큼. 출처: seapuri.co.kr, musinsa.com/brand/seapuri."
스노우투플러스 (SNOW2+),✓,스킨케어 (트러블/스팟 마그네슘 마이크로니들 패치),snow2plus_official,"랩앤피플(경기 양주) 코스메틱 브랜드로 특허 마그네슘 마이크로니들 여드름/트러블 패치(화장품, 디바이스 아님)를 소비자 직판. 일본·싱가포르 등 해외 진출+자사몰/올영 유통, 차별화 효능 스토리로 인플루언서 마케팅 여지 큼. 출처: snow2plus.com, instagram.com/snow2plus_official."
푸코아 (PUKOA),✓,이너뷰티 (리포좀 글루타치온·해조류 기반),pukoa.official,"운영사 오션앤하베스트의 신생 이너뷰티. 국내 해조류(다시마)+리포좀 글루타치온 결합 '블루밍 리포좀 글루타치온'이 대표 제품(생기/광채 케어). 자사몰(pukoa-store.com)+와디즈 펀딩 D2C, 인스타/스레드 인플루언서 협업 활발. 출처: ajunews.com 2025, pukoa-store.com, wadiz.kr/funding/311500."
글로우밍글 (GLOWMINGLE),✓,이너뷰티 (글루타치온 필름·식물성 비건 콜라겐),glowmingle_official,"하이롭(주)이 운영하는 프리미엄 이너뷰티 신생 브랜드. 고순도 글루타치온+리포좀 비타민C 필름, 식물성 비건 콜라겐 등 광채/생기 라인을 자사몰(glowmingle.co.kr) D2C+인스타(@glowmingle_official) 운영. 인플루언서 마케팅 여지 큰 인디. 출처: glowmingle.co.kr, sisunnews.co.kr."
젠실 (Zencil),✓,색조(립),zencil.official,"인플루언서 신재은(@zennyrt 100만+) 설립 색조. zencil.kr·창업자 인스타에서 핸들 확인. 팬덤 기반 D2C, 인플루언서 마케팅 여지 큼."
자빈드서울 (JAVIN DE SEOUL),,색조(쿠션·파운데이션·아이),javindeseoul,"(주)다하우스 운영 컨템포러리 색조. 무신사·W컨셉 입점, IG 27K. 인디 규모. 출처: javindeseoul.com·musinsa."
파넬 (PARNELL),✓,색조(시카 베이스·쿠션),parnell.official,"일레븐코퍼레이션(2025 예비유니콘) 운영. 시카 세럼쿠션 올영 여름쿠션 1위, IG 32K. 스타트업·확장 여지. 출처: parnell.kr."
결하우스 (GYEOL HAUS),,스킨케어(클렌징오일),gyeolhaus_official,"오일 설계 전문 인디. gyeolhaus.co.kr 실재, 화해 어워드 이력. IG 확인. 출처: business.hwahae.co.kr."
런드리유 (Laundryou),,스킨케어(클렌징폼),laundryou_official,"2021 론칭 인디(bvmt). 2024 올영 클렌징 1위·매출 200%↑, Cosmax 투자. 성장형이나 인디. 출처: digitaljournal.com."
텐제로 (TENZERO),,스킨케어(클렌징밤·더마),tenzero_official,"저자극 더마 인디. Young Collagen 클렌징밤, 이랜드몰 입점, 글로벌 계정 별도. 출처: tenzero.co.kr."
어반퓨어 (Urban Pure),✓,스킨케어(클렌징·더마),,"CNP 창립자 차미경 원장 신규 더마. 클렌징 7종, 얼루어 2026 라이징 브랜드 8선. IG 미확인(공란). 출처: urbanpure.co.kr·allurekorea."
LOVB LOVB (럽럽 코스메틱),✓,색조 - 베이스 (쿠션·파운데이션),lovblovb_official,"20대 타깃 내추럴 커버 글로우 쿠션 중심 인디. lovblovb.co.kr 공식몰 실재. Amazon 립 신규 1위·StyleVana 입점. 출처: lovblovb.co.kr, amazon.com K-beauty. [출처=클로드]"
STIMMUNG (스티뭉),✓,색조 - 베이스·아이·립 (멀티 컬러),,"'MOOD SWING with Colors' 콘셉트 독립 색조. stimmung.co.kr 실재, 보그코리아 색조 특집 소개. 대기업 계열 아님. IG 미확인(빈칸). 출처: stimmung.co.kr, vogue.co.kr. [출처=클로드]"
더모테라피 (Dermotherapie),✓,더마 스킨케어 (진정·장벽 케어),dermotherapie,한국 더마 코스메틱 인디. dermotherapie.co.kr + 인스타 @dermotherapie 직접 확인. 글로우픽 등록·리뷰 활성. D2C 병행. 출처: instagram.com/dermotherapie. [출처=클로드]
더메디닥터 (TheMediDr),✓,더마 스킨케어 (피부과 기반 클렌징·세럼·크림),themedidr_official,"피부과 전문의 기반 더마 인디. themedidr.co.kr + 인스타 @themedidr_official 직접 확인. 쿠팡·무신사 입점, D2C 병행. 출처: themedidr.co.kr. [출처=클로드]"
케어드 (KARED),,스킨케어 (웰니스),kared.kr,"2023년 6월 론칭 웰니스 스킨케어. 운영사 오알엔피. 무신사·29CM 입점 소형, @kared.kr 약 1.7만, D2C 운영. ⚠️아모레퍼시픽그룹·스마일게이트 시드 투자 수령(계열 아님·시드 단계지만 검토 필요). 출처: nextdaily.co.kr. [출처=클로드]"
네오베아 (Neovea),✓,스킨케어 (미니멀 더마),neovea_official,"2025년 11월 17일 런칭 신생 D2C 미니멀 스킨케어(불필요 성분 제거 철학). 셀럽(소원) 직접 기획·셀럽 팬덤 연계로 인플루언서 마케팅 수요. 공식몰 neovea.co.kr. 출처: tvreport.co.kr, allkpop.com. [출처=클로드]"
위글랜 (WEGLAN),✓,더마 스킨케어 (장벽케어·신생),weglan_official,"We Glow Again 슬로건 신생 초소규모 인디. 속광 앰플 출시 7일 만에 300개 완판, 무신사 입점. 콜드 발굴 최적. 출처: instagram.com/weglan_official. [출처=클로드]"
연지 (YEONJI),,비건 색조 (립밤·립멀티밤),yeonjicos,"한국 전통공예+비건+제로웨이스트 컨셉 소규모 D2C(운영사 TOBEWEIRD). 영국 비건소사이어티 인증, yeonjicos.co.kr 자체몰. 출처: yeonjicos.co.kr. [출처=클로드]"
뮬지오 (mulgeo),,더마 스킨케어 (비건·장벽케어),mulgeo_official,"고효능 비건 스킨케어 소규모 인디(주식회사 뮬지오, 용인). 민감피부 3-STEP, 29CM·mulgeo.kr D2C. 출처: mulgeo.kr. [출처=클로드]"
진저식스 (Ginger6),✓,비건 스킨케어 (생강추출 세럼·앰플),ginger6_official,"생강수 베이스 EWG 그린등급 비건 스킨케어, 하나모아(주) 독립. 인스타 5.3K 소형. 출처: ginger6.co.kr. [출처=클로드]"
IWLT (아이더블유엘티),✓,스킨케어 (에포트리스 스킨),,인플루언서 한여나 창업 '에포트리스 스킨' 컨셉 독립 인디. iwlt.co.kr·W컨셉 입점. IG @iwlt_beauty_kor 노출되나 미확정→빈칸. 출처: iwlt.co.kr. [출처=클로드]
더퓨어로터스 (The Pure Lotus),,비건·클린 스킨케어 (제주 백련 앰플·세럼),thepurelotus_global,제주 백련잎 원료 글로벌 비건·클린 소규모 인디. thepurelotus.com 공식몰. 출처: instagram.com/thepurelotus_global. [출처=클로드]
허스텔러 (HERSTELLER),,비건 색조 (립밤)·스킨케어,hersteller_official,"W Concept PB→김빛나 대표 인수 독립 중소 비건 브랜드. 리차징 립밤 주력, 올영·무신사 입점, EVE VEGAN. 출처: thefrontier.co.kr. [출처=클로드]"
이지 (EZY),✓,색조 (립글로스),ezy.coming,"얼루어 2026-06-22 '신상 루키 3선'. 리본 오브제 립글로스, 론칭 1개월 1.4만. 신생 소규모 색조 D2C. [출처=클로드]"
호미어 (HOMIER),✓,색조 (립앤치크),,"㈜CreamWave, 맥세이프 부착형 '포켓 립앤치크'. 얼루어 신상 기사. 신생 소규모 색조 인디. IG 미확인(빈칸). [출처=클로드]"
블랑디바 (BLANCDIVA),,색조 (쿠션·글로우),blancdiva_official,"㈜안앤케이글로벌 독립 중소. 글로우 온 쿠션, 올영·무신사 입점, 38K. [출처=클로드]"
그라운드플랜 (GROUNDPLAN),,색조 (쿠션·글로우 베이스),grplan,"㈜바리엔유 독립 인디(강남). 글로우핏 쿠션 D2C, 무신사·W컨셉. [출처=클로드]"
글로우 (GLOW),,색조 (BB크림·스킨틴트),glowishere,"㈜커런티브 2023 신생. 브리더블 비비크림 D2C, 올영, 인플루언서 공동창업, 10만. ⚠️브랜드명 'GLOW' 일반어라 식별 주의. [출처=클로드]"
메르넬 (MERNEL),✓,수분 스킨케어 (토너·앰플·크림),mernel_official,"해조류 기반 건성 수분 솔루션 중소 인디. COD Co. 운영, mernel.kr D2C. [출처=클로드]"
에코비 (EcoBe),✓,비건 클린 스킨케어 (신생),ecobe_official,"신생 인디 클린, 6.6K. ecobecosmetics.com D2C, 2025 소비자 대상 수상. [출처=클로드]"
UVX (유브이엑스),,선케어 전문 (선세럼·선스틱·선파우더),uvx_suncare,"파워풀엑스 운영 선케어 전문 인디. uvx.co.kr D2C, 퀀텀 선파우더·플라즈마 선스틱. 중소. [출처=클로드]"
보나벨라 (BONABELLA),✓,마스크·클렌저 (모델링마스크),bonabella_official,"㈜J&COS, 모델링마스크·티트리 마스크·클렌저. 무신사·신라면세점, 소규모 인디. [출처=클로드]"
영롱 (Younglong),✓,마스크팩·스킨케어,younglong.official,"약사 창업(㈜영롱), younglong.net D2C. 마스크팩. 소규모 인디(1.7K). [출처=클로드]"
YNM (You Need Me),✓,립밤·립케어 전문,ynmbeauty_official,"㈜디럭스뷰티 중소 독립. 올영 어워즈 2년 연속 립케어 수상. 허니 립밤, 18K. [출처=클로드]"
놀라아워 (NOLAHOUR),✓,트러블케어 (여드름 패치),nolahour.official,"독립 D2C, PETA 비건. 여드름 패치+클렌징·토너. 인디. [출처=클로드]"
닥터로사 (Dr.Rosa),✓,더마 (트러블 앰플·세럼),drrosa.official,2024.10 런칭 신생 K-메디컬뷰티. 10개국 수출. 독립 신생. [출처=클로드]
립리프 (LIPLIEF),,립케어·립밤 (비건),,올영·무신사 입점 비건 립케어 전문 소규모. 스티밍 립밤·립마스크. 올영 2022 MD's Pick. IG 미확인. [출처=클로드]
BEAUSTA (뷰스타),✓,더마 (시카 장벽),beausta_official,beausta.com 확인. 시카레시피 토너·세럼·크림. 무신사. 비상장 독립 중소. [출처=클로드]
이더앤 (EITHER&),,색조 (쿠션·글로우 베이스),eitherand_official,"2025.3 한국 론칭 신생. 블루존와이드. 에스파 지젤 모델, 올영 입점, 13K. [출처=클로드]"
코이 (KOY),,스킨케어 (셀럽 기획),koy_by_ko,배우 고현정 5년 기획 론칭. koybeauty.com 확인. 중소 인디·셀럽 팬덤. [출처=클로드]
프랭클리 (FRANKLY),,스킨케어 (원가공개 고효능),frankly.skincare.kr,연구원 원가공개 고효능. frankly.co.kr·W컨셉·29CM·무신사. 중소 인디. [출처=클로드]
4B:face,✓,선스틱·선케어,,화해 선스틱(SPF50+) 리뷰 다수 실존 확인. 소규모·무명 인디. IG 미확인(빈칸). [출처=클로드]
